"Date","Price","Open","High","Low","Vol.","Change %"
"04/22/2025","9,260.50","9,295.00","9,393.00","9,230.00","1.13M","-0.14%"
"04/21/2025","9,273.50","9,170.00","9,315.00","9,141.50","782.42K","1.21%"
"04/17/2025","9,162.50","9,040.00","9,190.00","8,952.00","1.14M","1.17%"
"04/16/2025","9,056.50","9,149.50","9,171.50","8,964.00","719.82K","-0.92%"
"04/15/2025","9,141.00","9,255.50","9,290.00","9,075.50","1.26M","2.46%"
"04/11/2025","8,921.10","8,825.05","8,973.50","8,810.70","1.01M","2.12%"
"04/09/2025","8,735.80","8,815.00","8,842.00","8,625.00","1.05M","-0.98%"
"04/08/2025","8,822.25","8,650.00","8,873.00","8,650.00","1.48M","2.97%"
"04/07/2025","8,568.00","8,340.00","8,600.50","8,307.15","1.40M","-1.73%"
"04/04/2025","8,718.85","8,656.00","8,797.00","8,583.80","1.85M","1.45%"
"04/03/2025","8,594.60","8,650.00","8,765.00","8,460.20","1.40M","-0.86%"
"04/02/2025","8,669.25","8,730.00","8,759.85","8,612.00","646.50K","-0.33%"
"04/01/2025","8,698.20","8,783.30","8,925.00","8,671.00","1.18M","-2.77%"
"03/28/2025","8,945.60","8,997.60","9,028.90","8,861.00","977.10K","-0.65%"
"03/27/2025","9,003.85","8,861.00","9,055.40","8,822.25","2.09M","1.55%"
"03/26/2025","8,866.05","9,102.05","9,126.90","8,849.95","886.21K","-2.22%"
"03/25/2025","9,067.25","9,125.00","9,260.05","8,977.05","1.75M","-0.25%"
"03/24/2025","9,090.05","9,095.95","9,115.00","8,927.00","1.43M","1.95%"
"03/21/2025","8,916.10","9,039.95","9,089.00","8,831.00","2.74M","2.72%"
"03/20/2025","8,679.65","8,725.00","8,768.05","8,541.15","792.43K","-0.59%"
