"Date","Price","Open","High","Low","Vol.","Change %"
"04/22/2025","1,852.20","1,888.00","1,888.00","1,836.80","6.16M","-1.66%"
"04/21/2025","1,883.40","1,898.40","1,904.30","1,868.60","3.50M","-0.30%"
"04/17/2025","1,889.10","1,834.00","1,897.70","1,825.70","10.89M","3.65%"
"04/16/2025","1,822.60","1,802.40","1,826.50","1,794.10","6.18M","1.32%"
"04/15/2025","1,798.80","1,808.20","1,820.00","1,781.10","10.31M","2.40%"
"04/11/2025","1,756.60","1,760.00","1,767.00","1,732.35","8.34M","2.39%"
"04/09/2025","1,715.55","1,719.65","1,726.85","1,711.60","5.60M","-0.28%"
"04/08/2025","1,720.40","1,720.70","1,742.30","1,706.80","7.21M","2.00%"
"04/07/2025","1,686.65","1,730.00","1,774.75","1,669.40","14.87M","-3.26%"
"04/04/2025","1,743.45","1,754.50","1,770.80","1,740.00","7.82M","-0.15%"
"04/03/2025","1,746.00","1,748.00","1,754.95","1,735.45","2.34M","-0.49%"
"04/02/2025","1,754.60","1,720.00","1,760.40","1,716.95","6.43M","1.77%"
"04/01/2025","1,724.15","1,715.00","1,765.00","1,708.45","6.77M","-0.53%"
"03/28/2025","1,733.40","1,733.30","1,745.75","1,660.00","4.13M","0.50%"
"03/27/2025","1,724.70","1,739.95","1,746.40","1,713.25","6.22M","-0.80%"
"03/26/2025","1,738.55","1,739.15","1,765.00","1,726.15","7.14M","0.47%"
"03/25/2025","1,730.50","1,725.00","1,740.50","1,706.10","4.86M","0.68%"
"03/24/2025","1,718.80","1,740.00","1,740.00","1,714.85","4.12M","-0.41%"
"03/21/2025","1,725.80","1,709.65","1,731.40","1,692.00","14.72M","1.21%"
"03/20/2025","1,705.25","1,660.00","1,709.65","1,646.10","12.07M","4.16%"
