"Date","Price","Open","High","Low","Vol.","Change %"
"04/22/2025","2,398.70","2,370.00","2,406.00","2,355.10","2.35M","2.03%"
"04/21/2025","2,351.00","2,368.10","2,372.40","2,348.80","1.48M","-1.01%"
"04/17/2025","2,375.00","2,357.10","2,379.90","2,343.10","1.96M","0.35%"
"04/16/2025","2,366.60","2,351.00","2,376.00","2,351.00","1.13M","0.22%"
"04/15/2025","2,361.50","2,400.00","2,400.00","2,345.20","3.04M","-0.20%"
"04/11/2025","2,366.15","2,394.60","2,394.85","2,344.35","3.84M","0.69%"
"04/09/2025","2,350.00","2,293.95","2,354.15","2,289.50","2.99M","2.65%"
"04/08/2025","2,289.25","2,268.30","2,306.20","2,252.35","2.77M","1.77%"
"04/07/2025","2,249.40","2,150.00","2,261.60","2,150.00","3.44M","0.22%"
"04/04/2025","2,244.55","2,230.00","2,267.05","2,222.00","1.12M","0.00%"
"04/03/2025","2,244.55","2,225.45","2,252.90","2,220.60","1.31M","0.30%"
"04/02/2025","2,237.90","2,243.70","2,243.70","2,190.05","1.35M","0.18%"
"04/01/2025","2,233.85","2,259.00","2,284.65","2,220.00","2.50M","-1.11%"
"03/28/2025","2,258.85","2,247.00","2,296.00","2,240.30","2.28M","0.63%"
"03/27/2025","2,244.65","2,244.20","2,260.90","2,200.00","3.75M","-0.06%"
"03/26/2025","2,245.95","2,272.00","2,279.90","2,237.80","1.42M","-1.12%"
"03/25/2025","2,271.30","2,250.75","2,292.00","2,243.35","2.23M","0.67%"
"03/24/2025","2,256.20","2,250.25","2,266.00","2,241.00","1.45M","0.45%"
"03/21/2025","2,246.20","2,245.00","2,255.20","2,225.80","2.15M","0.17%"
"03/20/2025","2,242.40","2,203.90","2,248.90","2,188.45","1.43M","1.92%"
