"Date","Price","Open","High","Low","Vol.","Change %"
"04/22/2025","1,416.50","1,412.80","1,418.80","1,398.90","16.14M","0.48%"
"04/21/2025","1,409.80","1,436.00","1,436.00","1,404.70","16.88M","0.22%"
"04/17/2025","1,406.70","1,362.00","1,408.90","1,360.10","17.49M","3.71%"
"04/16/2025","1,356.40","1,357.00","1,359.70","1,342.90","14.04M","0.46%"
"04/15/2025","1,350.20","1,351.00","1,354.30","1,336.20","15.20M","2.94%"
"04/11/2025","1,311.65","1,305.10","1,325.00","1,305.10","13.06M","0.83%"
"04/09/2025","1,300.80","1,304.95","1,305.10","1,284.50","13.01M","0.07%"
"04/08/2025","1,299.90","1,299.85","1,310.05","1,287.35","13.09M","0.96%"
"04/07/2025","1,287.55","1,295.25","1,325.00","1,265.00","19.19M","-3.58%"
"04/04/2025","1,335.30","1,329.55","1,338.55","1,322.10","8.65M","0.43%"
"04/03/2025","1,329.55","1,321.95","1,333.00","1,321.25","4.59M","-0.13%"
"04/02/2025","1,331.25","1,322.15","1,337.95","1,322.15","8.04M","0.97%"
"04/01/2025","1,318.45","1,340.00","1,352.35","1,315.40","14.29M","-2.22%"
"03/28/2025","1,348.35","1,336.00","1,357.95","1,327.20","8.27M","0.88%"
"03/27/2025","1,336.65","1,333.15","1,351.50","1,333.15","15.11M","0.06%"
"03/26/2025","1,335.90","1,344.05","1,358.00","1,331.50","10.86M","-0.58%"
"03/25/2025","1,343.70","1,359.00","1,363.80","1,330.05","16.42M","-1.06%"
"03/24/2025","1,358.15","1,355.95","1,373.00","1,345.05","9.35M","1.12%"
"03/21/2025","1,343.10","1,316.00","1,349.00","1,311.60","60.49M","1.62%"
"03/20/2025","1,321.70","1,320.00","1,324.25","1,311.05","10.89M","0.65%"
