"Date","Price","Open","High","Low","Vol.","Change %"
"04/22/2025","1,422.80","1,440.00","1,440.00","1,419.30","9.40M","-1.94%"
"04/21/2025","1,451.00","1,410.00","1,471.80","1,410.00","15.65M","2.22%"
"04/17/2025","1,419.50","1,398.00","1,429.80","1,378.30","14.26M","0.45%"
"04/16/2025","1,413.10","1,425.00","1,427.50","1,396.80","12.02M","-0.90%"
"04/15/2025","1,426.00","1,445.60","1,447.70","1,409.00","10.18M","1.17%"
"04/11/2025","1,409.45","1,411.25","1,438.80","1,397.05","12.57M","0.41%"
"04/09/2025","1,403.70","1,405.05","1,409.45","1,381.90","8.55M","-1.76%"
"04/08/2025","1,428.80","1,431.00","1,456.50","1,415.00","12.81M","2.29%"
"04/07/2025","1,396.75","1,352.00","1,405.90","1,307.00","21.72M","-3.78%"
"04/04/2025","1,451.65","1,460.50","1,472.00","1,448.00","9.59M","-3.00%"
"04/03/2025","1,496.50","1,534.65","1,534.65","1,485.05","10.46M","-3.46%"
"04/02/2025","1,550.15","1,535.20","1,555.65","1,535.20","6.19M","1.55%"
"04/01/2025","1,526.50","1,539.25","1,547.40","1,517.85","12.68M","-2.81%"
"03/28/2025","1,570.65","1,590.00","1,598.45","1,560.00","6.80M","-2.05%"
"03/27/2025","1,603.55","1,595.55","1,619.95","1,586.00","9.43M","0.26%"
"03/26/2025","1,599.45","1,626.00","1,637.75","1,595.00","6.65M","-1.78%"
"03/25/2025","1,628.45","1,605.00","1,636.15","1,605.00","9.89M","2.24%"
"03/24/2025","1,592.75","1,597.95","1,607.10","1,572.70","8.86M","0.01%"
"03/21/2025","1,592.55","1,577.95","1,603.90","1,563.65","10.07M","-1.42%"
"03/20/2025","1,615.55","1,592.00","1,631.90","1,592.00","7.19M","1.83%"
