"Date","Price","Open","High","Low","Vol.","Change %"
"04/22/2025","693.86","695.99","699.65","686.60","39.39K","0.20%"
"04/21/2025","692.50","680.01","693.50","678.67","50.78K","1.88%"
"04/17/2025","679.70","674.99","682.54","670.27","31.54K","0.81%"
"04/16/2025","674.24","672.99","675.15","669.21","20.25K","0.75%"
"04/15/2025","669.21","670.80","670.80","655.20","32.38K","2.75%"
"04/11/2025","651.27","657.98","659.96","648.06","34.22K","1.34%"
"04/09/2025","642.65","662.90","662.90","632.00","28.57K","-0.14%"
"04/08/2025","643.58","645.00","649.99","634.01","44.38K","1.31%"
"04/07/2025","635.26","637.99","641.99","585.51","139.20K","-2.48%"
"04/04/2025","651.41","668.73","675.00","648.95","58.58K","-2.60%"
"04/03/2025","668.81","664.29","670.96","658.71","40.58K","0.25%"
"04/02/2025","667.15","663.29","668.00","656.00","34.55K","1.36%"
"04/01/2025","658.23","666.37","671.38","656.15","46.78K","-1.22%"
"03/28/2025","666.36","668.21","676.89","664.10","61.44K","-0.21%"
"03/27/2025","667.73","668.41","673.99","657.20","185.76K","1.00%"
"03/26/2025","661.14","665.60","669.33","659.77","66.28K","-0.37%"
"03/25/2025","663.62","679.99","680.00","662.10","43.92K","-1.59%"
"03/24/2025","674.32","668.41","677.00","668.41","69.74K","1.19%"
"03/21/2025","666.41","660.05","668.76","655.25","49.66K","1.22%"
"03/20/2025","658.41","659.99","665.13","653.01","33.67K","0.23%"
