"Date","Price","Open","High","Low","Vol.","Change %"
"04/17/2025","3,298.90","3,245.50","3,303.60","3,218.00","2.93M","0.77%"
"04/16/2025","3,273.80","3,248.20","3,278.10","3,229.00","2.38M","0.79%"
"04/15/2025","3,248.20","3,314.40","3,314.40","3,238.60","3.51M","0.52%"
"04/11/2025","3,231.50","3,289.55","3,298.95","3,206.00","7.11M","-0.47%"
"04/09/2025","3,246.60","3,260.55","3,270.00","3,212.05","2.99M","-1.41%"
"04/08/2025","3,292.95","3,302.05","3,349.00","3,255.30","5.56M","0.58%"
"04/07/2025","3,274.05","3,100.00","3,291.40","3,056.05","6.62M","-0.77%"
"04/04/2025","3,299.40","3,362.60","3,399.65","3,295.50","5.32M","-3.05%"
"04/03/2025","3,403.15","3,491.00","3,502.00","3,396.15","4.54M","-3.97%"
"04/02/2025","3,543.95","3,544.00","3,564.10","3,530.05","1.76M","-0.19%"
"04/01/2025","3,550.80","3,572.70","3,584.00","3,525.00","2.62M","-1.53%"
"03/28/2025","3,606.15","3,651.00","3,660.95","3,591.90","2.05M","-1.23%"
"03/27/2025","3,651.20","3,614.85","3,663.00","3,610.50","2.53M","0.42%"
"03/26/2025","3,635.80","3,647.75","3,680.50","3,625.85","1.73M","-0.60%"
"03/25/2025","3,657.75","3,645.00","3,710.00","3,638.00","3.14M","0.79%"
"03/24/2025","3,628.95","3,600.00","3,649.75","3,566.60","1.83M","1.42%"
"03/21/2025","3,578.10","3,475.00","3,616.25","3,465.00","4.16M","0.42%"
"03/20/2025","3,563.15","3,512.00","3,578.95","3,512.00","2.85M","1.89%"
"03/19/2025","3,497.10","3,547.00","3,547.00","3,462.75","3.05M","-1.56%"
"03/18/2025","3,552.45","3,502.35","3,556.95","3,478.45","3.07M","1.57%"
"03/17/2025","3,497.70","3,489.00","3,530.45","3,477.35","2.69M","-0.38%"
"03/13/2025","3,511.05","3,502.30","3,524.30","3,484.10","1.69M","0.14%"
"03/12/2025","3,506.20","3,565.00","3,569.25","3,486.85","3.17M","-1.93%"
"03/11/2025","3,575.30","3,558.00","3,588.75","3,537.65","2.00M","-0.40%"
"03/10/2025","3,589.65","3,606.50","3,622.10","3,582.60","1.00M","-0.60%"
"03/07/2025","3,611.20","3,600.00","3,625.00","3,574.40","2.05M","0.27%"
"03/06/2025","3,601.60","3,557.00","3,609.45","3,536.10","2.79M","1.54%"
"03/05/2025","3,547.05","3,520.85","3,600.35","3,520.85","2.50M","0.42%"
"03/04/2025","3,532.05","3,474.00","3,551.00","3,464.30","2.80M","1.12%"
"03/03/2025","3,493.05","3,485.00","3,523.25","3,476.15","4.99M","0.28%"
"02/28/2025","3,483.25","3,584.95","3,600.00","3,457.00","7.09M","-3.58%"
"02/27/2025","3,612.55","3,611.70","3,638.00","3,600.70","3.82M","-0.47%"
"02/25/2025","3,629.55","3,625.00","3,658.00","3,621.25","4.10M","-1.25%"
"02/24/2025","3,675.60","3,743.15","3,763.20","3,670.00","2.51M","-2.92%"
"02/21/2025","3,786.00","3,776.10","3,817.00","3,775.00","1.83M","0.17%"
"02/20/2025","3,779.40","3,761.50","3,788.00","3,751.30","2.89M","-0.12%"
"02/19/2025","3,784.10","3,872.20","3,874.95","3,768.15","4.37M","-2.30%"
"02/18/2025","3,873.20","3,898.40","3,924.40","3,864.50","2.15M","-0.80%"
"02/17/2025","3,904.50","3,856.50","3,934.00","3,856.20","1.80M","-0.77%"
"02/14/2025","3,934.85","3,925.00","3,948.00","3,900.00","1.68M","0.63%"
"02/13/2025","3,910.15","3,968.00","3,984.45","3,902.25","2.28M","-1.01%"
"02/12/2025","3,950.15","3,971.10","4,021.75","3,940.15","1.68M","-0.34%"
"02/11/2025","3,963.55","4,018.40","4,040.00","3,955.00","1.81M","-1.82%"
"02/10/2025","4,036.95","4,040.00","4,052.00","4,014.35","1.34M","0.19%"
"02/07/2025","4,029.40","4,090.00","4,090.00","4,008.00","1.55M","-1.31%"
"02/06/2025","4,082.75","4,105.40","4,139.50","4,051.55","2.28M","-0.20%"
"02/05/2025","4,091.10","4,150.00","4,150.00","4,076.00","1.69M","-0.39%"
